x,L,u,e,tau_xx,tau_yy,tau_zz
0.086913,0.97429,1.1468,0.895,0.64719,-0.11719,-0.49961
0.087912,0.97401,1.1486,0.89385,0.64823,-0.11741,-0.50038
0.088911,0.97372,1.1504,0.89271,0.64928,-0.11763,-0.50114
0.08991,0.97343,1.1522,0.89157,0.65033,-0.11784,-0.5019
0.090909,0.97314,1.1541,0.89043,0.65138,-0.11805,-0.50267
0.091908,0.97285,1.1559,0.88929,0.65244,-0.11827,-0.50343
0.092907,0.97256,1.1577,0.88815,0.6535,-0.11848,-0.5042
0.093906,0.97228,1.1595,0.88702,0.65456,-0.11869,-0.50496
0.094905,0.97199,1.1614,0.88588,0.65562,-0.11891,-0.50573
0.095904,0.9717,1.1632,0.88475,0.65669,-0.11912,-0.5065
0.096903,0.97141,1.165,0.88362,0.65776,-0.11933,-0.50726
0.097902,0.97112,1.1669,0.88249,0.65882,-0.11955,-0.50803
0.098901,0.97083,1.1687,0.88136,0.6599,-0.11976,-0.5088
0.0999,0.97055,1.1705,0.88023,0.66097,-0.11997,-0.50957
0.1009,0.97026,1.1724,0.87911,0.66204,-0.12019,-0.51035
0.1019,0.96997,1.1742,0.87798,0.66312,-0.1204,-0.51112
0.1029,0.96968,1.1761,0.87686,0.6642,-0.12062,-0.51189
0.1039,0.96939,1.1779,0.87574,0.66528,-0.12083,-0.51267
0.1049,0.96911,1.1798,0.87462,0.66636,-0.12105,-0.51344
0.10589,0.96882,1.1817,0.8735,0.66745,-0.12127,-0.51422
0.10689,0.96853,1.1835,0.87238,0.66853,-0.12148,-0.515
0.10789,0.96824,1.1854,0.87127,0.66962,-0.1217,-0.51578
0.10889,0.96795,1.1873,0.87015,0.67071,-0.12192,-0.51656
0.10989,0.96766,1.1891,0.86904,0.67181,-0.12213,-0.51734
0.11089,0.96738,1.191,0.86793,0.6729,-0.12235,-0.51812
0.11189,0.96709,1.1929,0.86682,0.67399,-0.12257,-0.51891
0.11289,0.9668,1.1948,0.86571,0.67509,-0.12279,-0.5197
